sku,category,price
CAB-SPWR-30CM-M,hardware,
CAB-SPWR-35CM,hardware,
MA-CBL-100G-1M,hardware,
MA-CBL-100G-3M,hardware,
MA-CBL-100G-50CM,hardware,
MS130-12X,hardware,
MS130-12X-PSU-SYN,hardware,
MS130-24,hardware,
MS130-24-PSU-SYN,hardware,
MS130-24P,hardware,
MS130-24P-PSU-SYN,hardware,
MS130-24X,hardware,
MS130-24X-PSU-SYN,hardware,
MS130-48,hardware,
MS130-48-PSU-SYN,hardware,
MS130-48P,hardware,
MS130-48P-PSU-SYN,hardware,
MS130-48X,hardware,
MS130-48X-PSU-SYN,hardware,
MS130-8,hardware,
MS130-8-PSU-SYN,hardware,
MS130-8P,hardware,
MS130-8P-I,hardware,
MS130-8P-I-PSU-SYN,hardware,
MS130-8P-PSU-SYN,hardware,
MS130-8X,hardware,
MS130-8X-PSU-SYN,hardware,
MS150-24MP-4X,hardware,
MS150-24MP-4X-PSU-SYN,hardware,
MS150-24P-4G,hardware,
MS150-24P-4G-PSU-SYN,hardware,
MS150-24P-4X,hardware,
MS150-24P-4X-PSU-SYN,hardware,
MS150-24T-4G,hardware,
MS150-24T-4G-PSU-SYN,hardware,
MS150-24T-4X,hardware,
MS150-24T-4X-PSU-SYN,hardware,
MS150-48FP-4G,hardware,
MS150-48FP-4G-PSU-SYN,hardware,
MS150-48FP-4X,hardware,
MS150-48FP-4X-PSU-SYN,hardware,
MS150-48LP-4G,hardware,
MS150-48LP-4G-PSU-SYN,hardware,
MS150-48LP-4X,hardware,
MS150-48LP-4X-PSU-SYN,hardware,
MS150-48MP-4X,hardware,
MS150-48MP-4X-PSU-SYN,hardware,
MS150-48T-4G,hardware,
MS150-48T-4G-PSU-SYN,hardware,
MS150-48T-4X,hardware,
MS150-48T-4X-PSU-SYN,hardware,
PWR-C1-1100WAC,hardware,
PWR-C1-1100WAC-P,hardware,
PWR-C1-1100WAC-P-M,hardware,
PWR-C1-1900WAC-P,hardware,
PWR-C1-1900WAC-P-M,hardware,
PWR-C1-1900WHV-T,hardware,
PWR-C1-350WAC-P,hardware,
PWR-C1-350WAC-P-M,hardware,
PWR-C1-715WAC,hardware,
PWR-C1-715WAC-P,hardware,
PWR-C1-715WAC-P-M,hardware,
PWR-C1-715WDC,hardware,
PWR-C2-1600WAC-I,hardware,
PWR-C2-500WAC-I,hardware,
PWR-C2-850WAC-I,hardware,
PWR-C5-125WAC,hardware,
PWR-C5-125WAC-M,hardware,
PWR-C5-1KWAC,hardware,
PWR-C5-1KWAC-M,hardware,
PWR-C5-600WAC,hardware,
PWR-C5-600WAC-M,hardware,
PWR-C6-125WAC,hardware,
PWR-C6-1KWAC,hardware,
PWR-C6-600WAC,hardware,
PWR-C6-715WDC,hardware,
STACK-T1-1M,hardware,
STACK-T1-1M-M,hardware,
STACK-T1-3M,hardware,
STACK-T1-3M-M,hardware,
STACK-T1-50CM,hardware,
STACK-T1-50CM-M,hardware,
STACK-T1A-1M,hardware,
STACK-T1A-3M,hardware,
STACK-T1A-50CM,hardware,
STACK-T3A-1M,hardware,
STACK-T3A-1M-M,hardware,
STACK-T3A-3M,hardware,
STACK-T3A-3M-M,hardware,
STACK-T3A-50CM,hardware,
STACK-T3A-50CM-M,hardware,
STACK-T4-1M,hardware,
STACK-T4-1M-M,hardware,
STACK-T4-3M,hardware,
STACK-T4-3M-M,hardware,
STACK-T4-50CM,hardware,
STACK-T4-50CM-M,hardware,
LIC-CS-AC1-L-A,subscription_monthly,
LIC-CS-AC1-L-E,subscription_monthly,
LIC-CS-AC1-M-A,subscription_monthly,
LIC-CS-AC1-M-E,subscription_monthly,
LIC-CS-CO-L-A,subscription_monthly,
LIC-CS-CO-M-A,subscription_monthly,
LIC-CS-CO-XL-A,subscription_monthly,
LIC-MS-100-L-A,subscription_monthly,
LIC-MS-100-L-E,subscription_monthly,
LIC-MS-100-M-A,subscription_monthly,
LIC-MS-100-M-E,subscription_monthly,
LIC-MS-100-S-A,subscription_monthly,
LIC-MS-100-S-E,subscription_monthly,
LIC-MS-200-L-A,subscription_monthly,
LIC-MS-200-L-E,subscription_monthly,
LIC-MS-200-M-A,subscription_monthly,
LIC-MS-200-M-E,subscription_monthly,
LIC-MS-200-S-A,subscription_monthly,
LIC-MS-200-S-E,subscription_monthly,
LIC-MS-300-L-A,subscription_monthly,
LIC-MS-300-L-E,subscription_monthly,
LIC-MS-300-M-A,subscription_monthly,
LIC-MS-300-M-E,subscription_monthly,
C9200-DNA-A-24-3Y,fixed_term,
C9200-DNA-A-24-5Y,fixed_term,
C9200-DNA-A-24-7Y,fixed_term,
C9200-DNA-A-48-3Y,fixed_term,
C9200-DNA-A-48-5Y,fixed_term,
C9200-DNA-A-48-7Y,fixed_term,
C9200-DNA-E-24-3Y,fixed_term,
C9200-DNA-E-24-5Y,fixed_term,
C9200-DNA-E-24-7Y,fixed_term,
C9200-DNA-E-48-3Y,fixed_term,
C9200-DNA-E-48-5Y,fixed_term,
C9200-DNA-E-48-7Y,fixed_term,
C9200CX-DNAA12-3Y,fixed_term,
C9200CX-DNAA12-5Y,fixed_term,
C9200CX-DNAA12-7Y,fixed_term,
C9200CX-DNAA8-3Y,fixed_term,
C9200CX-DNAA8-5Y,fixed_term,
C9200CX-DNAA8-7Y,fixed_term,
C9200CX-DNAE12-3Y,fixed_term,
C9200CX-DNAE12-5Y,fixed_term,
C9200CX-DNAE12-7Y,fixed_term,
C9200CX-DNAE8-3Y,fixed_term,
C9200CX-DNAE8-5Y,fixed_term,
C9200CX-DNAE8-7Y,fixed_term,
C9200L-DNA-A-24-3Y,fixed_term,
C9200L-DNA-A-24-5Y,fixed_term,
C9200L-DNA-A-24-7Y,fixed_term,
C9200L-DNA-A-48-3Y,fixed_term,
C9200L-DNA-A-48-5Y,fixed_term,
C9200L-DNA-A-48-7Y,fixed_term,
C9200L-DNA-E-24-3Y,fixed_term,
C9200L-DNA-E-24-5Y,fixed_term,
C9200L-DNA-E-24-7Y,fixed_term,
C9200L-DNA-E-48-3Y,fixed_term,
C9200L-DNA-E-48-5Y,fixed_term,
C9200L-DNA-E-48-7Y,fixed_term,
C9300-DNA-A-24-3Y,fixed_term,
C9300-DNA-A-24-5Y,fixed_term,
C9300-DNA-A-24-7Y,fixed_term,
C9300-DNA-A-24S-3Y,fixed_term,
C9300-DNA-A-24S-5Y,fixed_term,
C9300-DNA-A-24S-7Y,fixed_term,
C9300-DNA-A-48-3Y,fixed_term,
C9300-DNA-A-48-5Y,fixed_term,
C9300-DNA-A-48-7Y,fixed_term,
C9300-DNA-A-48S-3Y,fixed_term,
C9300-DNA-A-48S-5Y,fixed_term,
C9300-DNA-A-48S-7Y,fixed_term,
C9300-DNA-E-24-3Y,fixed_term,
C9300-DNA-E-24-5Y,fixed_term,
C9300-DNA-E-24-7Y,fixed_term,
C9300-DNA-E-24S-3Y,fixed_term,
C9300-DNA-E-24S-5Y,fixed_term,
C9300-DNA-E-24S-7Y,fixed_term,
C9300-DNA-E-48-3Y,fixed_term,
C9300-DNA-E-48-5Y,fixed_term,
C9300-DNA-E-48-7Y,fixed_term,
C9300-DNA-E-48S-3Y,fixed_term,
C9300-DNA-E-48S-5Y,fixed_term,
C9300-DNA-E-48S-7Y,fixed_term,
C9300-DNA-L-A-3Y,fixed_term,
C9300-DNA-L-A-5Y,fixed_term,
C9300-DNA-L-A-7Y,fixed_term,
C9300-DNA-L-E-3Y,fixed_term,
C9300-DNA-L-E-5Y,fixed_term,
C9300-DNA-L-E-7Y,fixed_term,
C9300L-DNA-A-24-3Y,fixed_term,
C9300L-DNA-A-24-5Y,fixed_term,
C9300L-DNA-A-24-7Y,fixed_term,
C9300L-DNA-A-48-3Y,fixed_term,
C9300L-DNA-A-48-5Y,fixed_term,
C9300L-DNA-A-48-7Y,fixed_term,
C9300L-DNA-E-24-3Y,fixed_term,
C9300L-DNA-E-24-5Y,fixed_term,
C9300L-DNA-E-24-7Y,fixed_term,
C9300L-DNA-E-48-3Y,fixed_term,
C9300L-DNA-E-48-5Y,fixed_term,
C9300L-DNA-E-48-7Y,fixed_term,
C9500-DNA-A-3Y,fixed_term,
C9500-DNA-A-5Y,fixed_term,
C9500-DNA-A-7Y,fixed_term,
C9500-DNA-E-3Y,fixed_term,
C9500-DNA-E-5Y,fixed_term,
C9500-DNA-E-7Y,fixed_term,
C9500-DNA-L-A-3Y,fixed_term,
C9500-DNA-L-A-5Y,fixed_term,
C9500-DNA-L-A-7Y,fixed_term,
C9500-DNA-L-E-3Y,fixed_term,
C9500-DNA-L-E-5Y,fixed_term,
C9500-DNA-L-E-7Y,fixed_term,
C9500X-DNA-A-3Y,fixed_term,
C9500X-DNA-A-5Y,fixed_term,
C9500X-DNA-A-7Y,fixed_term,
C9500X-DNA-E-3Y,fixed_term,
C9500X-DNA-E-5Y,fixed_term,
C9500X-DNA-E-7Y,fixed_term,
LIC-C9200CX-A-1Y,fixed_term,
LIC-C9200CX-A-3Y,fixed_term,
LIC-C9200CX-A-5Y,fixed_term,
LIC-C9200CX-A-7Y,fixed_term,
LIC-C9200CX-E-1Y,fixed_term,
LIC-C9200CX-E-3Y,fixed_term,
LIC-C9200CX-E-5Y,fixed_term,
LIC-C9200CX-E-7Y,fixed_term,
LIC-C9200L-24A-1Y,fixed_term,
LIC-C9200L-24A-3Y,fixed_term,
LIC-C9200L-24A-5Y,fixed_term,
LIC-C9200L-24E-1Y,fixed_term,
LIC-C9200L-24E-3Y,fixed_term,
LIC-C9200L-24E-5Y,fixed_term,
LIC-C9200L-48A-1Y,fixed_term,
LIC-C9200L-48A-3Y,fixed_term,
LIC-C9200L-48A-5Y,fixed_term,
LIC-C9200L-48E-1Y,fixed_term,
LIC-C9200L-48E-3Y,fixed_term,
LIC-C9200L-48E-5Y,fixed_term,
LIC-C9300-24A-10Y,fixed_term,
LIC-C9300-24A-1Y,fixed_term,
LIC-C9300-24A-3Y,fixed_term,
LIC-C9300-24A-5Y,fixed_term,
LIC-C9300-24A-7Y,fixed_term,
LIC-C9300-24E-10Y,fixed_term,
LIC-C9300-24E-1Y,fixed_term,
LIC-C9300-24E-3Y,fixed_term,
LIC-C9300-24E-5Y,fixed_term,
LIC-C9300-24E-7Y,fixed_term,
LIC-C9300-48A-10Y,fixed_term,
LIC-C9300-48A-1Y,fixed_term,
LIC-C9300-48A-3Y,fixed_term,
LIC-C9300-48A-5Y,fixed_term,
LIC-C9300-48A-7Y,fixed_term,
LIC-C9300-48E-10Y,fixed_term,
LIC-C9300-48E-1Y,fixed_term,
LIC-C9300-48E-3Y,fixed_term,
LIC-C9300-48E-5Y,fixed_term,
LIC-C9300-48E-7Y,fixed_term,
LIC-C9350-24A-3Y,fixed_term,
LIC-C9350-24A-5Y,fixed_term,
LIC-C9350-24A-7Y,fixed_term,
LIC-C9350-24E-3Y,fixed_term,
LIC-C9350-24E-5Y,fixed_term,
LIC-C9350-24E-7Y,fixed_term,
LIC-C9350-48A-3Y,fixed_term,
LIC-C9350-48A-5Y,fixed_term,
LIC-C9350-48A-7Y,fixed_term,
LIC-C9350-48E-3Y,fixed_term,
LIC-C9350-48E-5Y,fixed_term,
LIC-C9350-48E-7Y,fixed_term,
LIC-MS130-24-10Y,fixed_term,
LIC-MS130-24-1Y,fixed_term,
LIC-MS130-24-3Y,fixed_term,
LIC-MS130-24-5Y,fixed_term,
LIC-MS130-24-7Y,fixed_term,
LIC-MS130-24A-1Y,fixed_term,
LIC-MS130-24A-3Y,fixed_term,
LIC-MS130-24A-5Y,fixed_term,
LIC-MS130-48-10Y,fixed_term,
LIC-MS130-48-1Y,fixed_term,
LIC-MS130-48-3Y,fixed_term,
LIC-MS130-48-5Y,fixed_term,
LIC-MS130-48-7Y,fixed_term,
LIC-MS130-48A-1Y,fixed_term,
LIC-MS130-48A-3Y,fixed_term,
LIC-MS130-48A-5Y,fixed_term,
LIC-MS130-CMPT-10Y,fixed_term,
LIC-MS130-CMPT-1Y,fixed_term,
LIC-MS130-CMPT-3Y,fixed_term,
LIC-MS130-CMPT-5Y,fixed_term,
LIC-MS130-CMPT-7Y,fixed_term,
LIC-MS130-CMPTA-1Y,fixed_term,
LIC-MS130-CMPTA-3Y,fixed_term,
LIC-MS130-CMPTA-5Y,fixed_term,
LIC-MS150-24-10Y,fixed_term,
LIC-MS150-24-1Y,fixed_term,
LIC-MS150-24-3Y,fixed_term,
LIC-MS150-24-5Y,fixed_term,
LIC-MS150-24-7Y,fixed_term,
LIC-MS150-24A-1Y,fixed_term,
LIC-MS150-24A-3Y,fixed_term,
LIC-MS150-24A-5Y,fixed_term,
LIC-MS150-48-10Y,fixed_term,
LIC-MS150-48-1Y,fixed_term,
LIC-MS150-48-3Y,fixed_term,
LIC-MS150-48-5Y,fixed_term,
LIC-MS150-48-7Y,fixed_term,
LIC-MS150-48A-1Y,fixed_term,
LIC-MS150-48A-3Y,fixed_term,
LIC-MS150-48A-5Y,fixed_term,
NETWORK-ADVANTAGE-PERPETUAL,fixed_term,
NETWORK-ESSENTIALS-PERPETUAL,fixed_term,
